run,lumi,evtid 
1,316,57867
1,316,57891
1,317,58052
1,317,58154
1,318,58213
1,319,58326
1,319,58442
1,320,58609
1,320,58700
1,321,58746
1,321,58768
1,321,58774
1,322,58912
1,322,58992
1,323,59131
1,324,59373
1,445,81405
1,445,81534
1,446,81614
1,446,81692
1,449,82220
1,449,82341
1,523,95752
1,524,95904
1,524,95980
1,525,96188
1,525,96194
1,525,96204
1,525,96265
1,526,96431
1,526,96480
1,527,96665
1,528,96735
1,528,96744
1,565,103530
1,565,103552
1,566,103614
1,566,103631
1,566,103663
1,566,103684
1,566,103700
1,566,103737
1,567,103813
1,567,103829
1,567,103840
1,567,103862
1,567,103837
1,567,103898
1,567,103954
1,567,103953
1,567,103964
1,567,103993
1,447,81843
1,447,81866
1,447,81983
1,447,81999
1,379,69333
1,379,69342
1,379,69407
1,381,69728
1,381,69825
1,381,69838
1,381,69872
1,384,70328
1,385,70419
1,385,70446
1,386,70672
1,387,70843
1,387,70836
1,387,70936
1,388,71012
1,388,71083
1,388,71108
1,388,71135
1,388,71160
1,389,71232
1,389,71269
1,390,71458
1,397,72683
1,397,72692
1,397,72698
1,397,72764
1,397,72765
1,398,72802
1,398,72874
1,398,72866
1,398,72919
1,399,73133
1,400,73203
1,400,73364
1,401,73415
1,401,73477
1,401,73543
1,401,73530
1,402,73604
1,402,73685
1,415,75939
1,415,76020
1,416,76119
1,416,76291
1,417,76386
1,417,76449
1,417,76469
1,417,76486
1,418,76535
1,418,76545
1,418,76579
1,418,76595
1,419,76898
1,420,76957
1,421,77059
1,421,77108
1,422,77315
1,422,77385
1,423,77445
1,423,77431
1,423,77451
1,423,77491
1,423,77532
1,423,77547
1,424,77692
1,424,77734
1,424,77782
1,425,77831
1,425,77838
1,425,77943
1,425,77983
1,427,78116
1,427,78187
1,428,78309
1,428,78332
1,428,78344
1,428,78358
1,430,78807
1,431,78924
1,431,79005
1,431,79019
1,432,79148
1,432,79149
1,432,79163
1,439,80329
1,439,80419
1,439,80432
1,382,70070
1,383,70158
1,383,70196
1,383,70200
1,442,80907
1,442,80972
1,505,92442
1,505,92493
1,505,92525
1,505,92584
1,506,92713
1,506,92784
1,506,92786
1,507,92838
1,507,92964
1,508,93016
1,508,93061
1,508,93093
1,508,93117
1,508,93133
1,508,93135
1,508,93170
1,508,93188
1,509,93300
1,509,93308
1,512,93844
1,513,93901
1,513,93913
1,513,94080
1,513,94068
1,513,94083
1,513,94096
1,514,94260
1,515,94301
1,515,94382
1,515,94471
1,516,94542
1,516,94541
1,517,94603
1,517,94722
1,517,94724
1,517,94747
1,518,94806
1,518,94979
1,519,95065
1,520,95229
1,520,95310
1,520,95342
1,521,95405
1,521,95483
1,522,95633
1,522,95683
1,535,97923
1,535,98040
1,536,98127
1,536,98189
1,536,98205
1,536,98211
1,536,98232
1,537,98316
1,537,98488
1,538,98571
1,538,98626
1,538,98671
1,539,98787
1,539,98837
1,539,98843
1,539,98855
1,539,98896
1,542,99293
1,542,99388
1,543,99471
1,543,99559
1,544,99608
1,544,99654
1,544,99781
1,545,99819
1,545,99831
1,545,99987
1,546,100009
1,553,101240
1,553,101249
1,554,101426
1,554,101472
1,554,101489
1,554,101534
1,555,101676
1,555,101763
1,556,101973
1,557,102060
1,557,102183
1,558,102267
1,558,102284
1,510,93448
1,568,104034
1,568,104032
1,568,104064
1,568,104083
1,569,104275
1,569,104299
1,577,105721
1,577,105773
1,577,105774
1,577,105789
1,577,105799
1,578,105842
1,578,105884
1,579,106112
1,579,106139
1,580,106218
1,580,106271
1,580,106313
1,580,106333
1,581,106513
1,595,108977
1,595,109023
1,596,109229
1,596,109246
1,597,109303
1,597,109483
1,597,109486
1,598,109501
1,599,109746
1,599,109837
1,601,110053
1,601,110080
1,602,110248
1,602,110330
1,603,110412
1,603,110439
1,603,110502
1,604,110673
1,604,110726
1,604,110737
1,604,110786
1,605,110823
1,605,110840
1,605,110983
1,606,111018
1,606,111046
1,606,111091
1,625,114474
1,625,114473
1,627,114972
1,628,115088
1,628,115099
1,628,115120
1,628,115161
1,629,115367
1,631,115503
1,631,115515
1,631,115684
