run,lumi,evtid
1,393,392929
1,393,392944
1,394,393016
1,394,393137
1,394,393243
1,394,393235
1,394,393264
1,394,393284
1,394,393498
1,394,393539
1,394,393577
1,394,393788
1,394,393795
1,394,393888
1,394,393887
1,394,393915
1,394,393924
1,394,393962
1,395,394139
1,395,394300
1,395,394399
1,395,394565
1,395,394641
1,395,394856
1,395,394864
1,395,394969
1,448,447044
1,448,447223
1,448,447266
1,448,447263
1,448,447301
1,448,447464
1,448,447845
1,65,64021
1,65,64046
1,65,64062
1,65,64138
1,65,64214
1,65,64404
1,65,64683
1,65,64691
1,65,64779
1,65,64794
1,65,64884
1,66,65014
1,66,65031
1,66,65027
1,66,65058
1,66,65096
1,66,65113
1,66,65220
1,66,65510
1,66,65550
1,66,65696
1,66,65906
1,66,65927
1,66,65980
1,66,65982
1,67,66082
1,67,66174
1,67,66256
1,67,66297
1,67,66290
1,67,66357
1,67,66566
1,67,66944
1,68,67269
1,68,67333
1,68,67395
1,68,67408
1,68,67453
1,68,67653
1,68,67722
1,68,67799
1,68,67893
1,105,104099
1,105,104184
1,105,104251
1,105,104422
1,105,104747
1,105,104795
1,105,104870
1,105,104955
1,105,104960
1,106,105077
1,106,105191
1,106,105311
1,106,105506
1,106,105593
1,106,105635
1,106,105674
1,106,105937
1,106,105936
1,107,106045
1,107,106067
1,107,106082
1,107,106088
1,107,106099
1,107,106191
1,107,106470
1,107,106634
1,107,106664
1,107,106721
1,107,106759
1,107,106767
1,107,106904
1,107,106993
1,108,107104
1,108,107182
1,108,107285
1,108,107643
1,108,107723
1,108,107791
1,185,184081
1,185,184160
1,185,184589
1,185,184605
1,185,184697
1,185,184721
1,185,184748
1,185,184968
1,186,185033
1,186,185134
1,186,185201
1,186,185269
1,186,185283
1,186,185595
1,186,185620
1,186,185856
1,186,185928
1,186,185980
1,187,186061
1,187,186342
1,187,186425
1,187,186588
1,187,186846
1,187,186943
1,187,186975
1,188,187083
1,188,187127
1,188,187450
1,188,187501
1,188,187992
1,233,232006
1,233,232218
1,233,232369
1,233,232389
1,233,232582
1,233,232638
1,233,232646
1,233,232930
1,234,233029
1,234,233149
1,234,233226
1,234,233295
1,234,233418
1,234,233655
1,234,233822
1,234,233883
1,234,233904
1,235,234108
1,235,234188
1,235,234309
1,235,234356
1,235,234472
1,235,234601
1,235,234761
1,235,234875
1,236,235028
1,236,235091
1,236,235241
1,236,235428
1,236,235486
1,236,235664
1,236,235873
1,236,235913
1,236,235962
1,128,127080
1,128,127267
1,128,127335
1,128,127566
1,128,127619
1,128,127701
1,128,127926
1,128,127990
1,169,168349
1,169,168387
1,169,168397
1,169,168409
1,169,168655
