,run,lumi,evtid
4229,1,208,207149
4243,1,208,207982
4246,1,225,224324
4252,1,226,225279
4255,1,226,225455
4259,1,226,225841
4263,1,227,226223
4264,1,227,226303
4267,1,227,226426
4271,1,227,226835
4274,1,227,226995
4276,1,228,227630
4281,1,228,227694
4286,1,229,228070
4287,1,229,228218
4289,1,229,228268
4295,1,229,228832
4298,1,256,255188
4299,1,256,255390
4300,1,256,255407
4302,1,256,255480
4303,1,256,255656
4306,1,256,255795
4310,1,256,255873
4311,1,256,255899
4325,1,269,268816
4326,1,270,269020
4332,1,270,269507
4334,1,270,269580
4337,1,270,269633
4338,1,270,269712
4339,1,270,269759
4341,1,270,269843
4343,1,271,270168
4344,1,271,270221
4347,1,271,270332
4349,1,271,270579
4352,1,271,270756
4358,1,272,271274
4360,1,272,271325
4362,1,272,271521
4363,1,272,271721
4366,1,272,271763
4371,1,272,271987
4376,1,309,308875
4377,1,309,308891
4379,1,310,309058
4381,1,310,309267
4383,1,310,309597
4386,1,310,309962
4391,1,311,310021
4392,1,311,310061
4393,1,311,310078
4395,1,311,310192
4400,1,311,310524
4403,1,311,310911
4405,1,311,311000
4406,1,312,311111
4407,1,312,311336
4410,1,312,311461
4414,1,312,311635
4421,1,230,229074
4426,1,230,229393
4428,1,230,229459
4429,1,230,229492
4432,1,230,229663
4440,1,231,230253
4449,1,232,231105
4453,1,232,231289
4457,1,232,231575
4459,1,232,231745
4461,1,253,252485
4463,1,253,252518
4473,1,254,253187
4478,1,254,253559
4480,1,254,253760
4486,1,255,254312
4487,1,255,254334
4489,1,255,254376
4495,1,255,254638
4506,1,53,52632
4507,1,53,52769
4509,1,53,52951
4518,1,54,53437
4520,1,54,53669
4521,1,54,53741
4545,1,56,55525
4548,1,56,55880
4550,1,56,55923
4553,1,345,344092
4556,1,345,344253
4558,1,345,344389
4565,1,346,345027
4568,1,347,346002
4569,1,347,346215
4574,1,347,346664
4581,1,348,347252
4586,1,348,347858
4598,1,390,389614
4599,1,390,389623
4601,1,390,389691
4602,1,390,389738
4610,1,391,390254
4615,1,391,390530
4616,1,391,390801
4618,1,391,390851
4619,1,391,390865
4620,1,391,390975
4622,1,392,391358
4623,1,392,391385
4626,1,392,391913
4628,1,392,391978
4630,1,465,464258
4631,1,465,464291
4634,1,465,464525
4638,1,465,464808
4645,1,466,465198
4648,1,466,465347
4650,1,466,465625
4651,1,466,465641
4655,1,466,465860
4657,1,467,466557
4658,1,467,466574
4661,1,467,466777
4671,1,468,467948
4674,1,361,360187
4681,1,362,361051
4682,1,362,361069
4685,1,362,361486
4686,1,362,361500
4694,1,362,361878
4701,1,363,362406
4702,1,363,362403
4704,1,363,362482
4706,1,363,362568
4708,1,363,362760
4712,1,364,363385
4713,1,364,363523
4717,1,364,363916
4722,1,365,364331
4723,1,365,364332
4724,1,365,364366
4725,1,365,364383
4727,1,365,364626
4728,1,365,364728
4733,1,365,364964
4734,1,365,364995
4736,1,366,365181
4741,1,366,365491
4748,1,374,373143
4749,1,374,373446
4760,1,375,374717
4761,1,375,374842
4763,1,375,374908
4764,1,375,374921
4766,1,375,374993
4767,1,33,32097
4769,1,33,32208
4773,1,33,32280
4775,1,33,32507
4776,1,33,32618
4778,1,33,32740
4779,1,33,32753
4780,1,33,32821
4782,1,34,33055
4784,1,34,33206
4785,1,34,33405
4789,1,34,33506
4792,1,34,33673
4794,1,34,33723
4802,1,35,34204
4803,1,35,34422
4809,1,35,34845
4810,1,35,34873
4820,1,36,35493
4823,1,41,40099
4824,1,41,40124
4828,1,41,40469
4830,1,41,40523
4831,1,41,40606
4838,1,41,40996
4849,1,42,41920
4851,1,42,41980
4856,1,43,42282
4857,1,43,42369
4860,1,43,42541
4861,1,43,42646
4862,1,43,42653
4864,1,43,42700
4867,1,44,43689
